srcLabelIx,srcLabelName,dstLabelId
0,Abeillia abeillei,3
1,Abroscopus albogularis,5
2,Abroscopus schisticeps,6
3,Abroscopus superciliaris,7
4,Aburria aburri,9
5,Acanthagenys rufogularis,12
6,Acanthidops bairdi,13
7,Acanthis cabaret,15
8,Acanthis flammea,16
9,Acanthis hornemanni,18
10,Acanthisitta chloris,19
11,Acanthiza apicalis,20
12,Acanthiza chrysorrhoa,21
13,Acanthiza cinerea,22
14,Acanthiza ewingii,23
15,Acanthiza inornata,24
16,Acanthiza iredalei,25
17,Acanthiza katherina,26
18,Acanthiza lineata,27
19,Acanthiza murina,28
20,Acanthiza nana,29
21,Acanthiza pusilla,30
22,Acanthiza reguloides,31
23,Acanthiza robustirostris,32
24,Acanthiza uropygialis,33
25,Acanthorhynchus superciliosus,40
26,Acanthorhynchus tenuirostris,41
27,Acanthornis magna,42
28,Acanthoventris drewseni,45
29,Tachyspiza albogularis,48
30,Astur atricapillus,49
31,Astur gentilis,50
32,Tachyspiza badia,51
33,Astur bicolor,52
34,Tachyspiza brevipes,53
35,Astur chilensis,55
36,Accipiter chionogaster,56
37,Tachyspiza cirrocephala,57
38,Microspizias collaris,58
39,Astur cooperii,60
40,Tachyspiza erythrauchen,61
41,Accipiter erythronemius,62
42,Tachyspiza fasciata,64
43,Tachyspiza francesiae,65
44,Tachyspiza gularis,67
45,Astur gundlachi,68
46,Tachyspiza haplochroa,69
47,Tachyspiza henicogramma,70
48,Astur henstii,71
49,Tachyspiza hiogaster,72
50,Accipiter madagascariensis,73
51,Astur melanoleucus,75
52,Tachyspiza minulla,77
53,Accipiter nisus,79
54,Tachyspiza novaehollandiae,80
55,Accipiter ovampensis,81
56,Accipiter poliogaster,83
57,Tachyspiza rhodogaster,84
58,Tachyspiza rufitorques,85
59,Accipiter rufiventris,86
60,Tachyspiza soloensis,87
61,Accipiter striatus,88
62,Microspizias superciliosus,89
63,Aerospiza tachiro,91
64,Accipiter toussenelii,92
65,Tachyspiza trinotata,93
66,Lophospiza trivirgata,94
67,Accipiter ventralis,95
68,Tachyspiza virgata,96
69,Rhabdotorrhinus corrugatus,104
70,Aceros nipalensis,106
71,Achaetops pycnopygius,107
72,Acherontia atropos,108
73,Acheta domesticus,110
74,Acheta rufopictus,113
75,Acrididae,117
76,Acridotheres burmannicus,119
77,Acridotheres cristatellus,120
78,Acridotheres fuscus,121
79,Acridotheres ginginianus,122
80,Acridotheres grandis,123
81,Acridotheres javanicus,124
82,Acridotheres leucocephalus,125
83,Acridotheres tristis,127
84,Acris blanchardi,129
85,Acris crepitans,130
86,Acris gryllus,131
87,Acris,132
88,Acritillas indica,133
89,Acrobatornis fonsecai,136
90,Acrocephalus agricola,138
91,Acrocephalus arundinaceus,139
92,Acrocephalus atyphus,140
93,Acrocephalus australis,141
94,Acrocephalus baeticatus,142
95,Acrocephalus bistrigiceps,143
96,Acrocephalus brevipennis,144
97,Acrocephalus caffer,145
98,Acrocephalus concinens,146
99,Acrocephalus dumetorum,147
100,Acrocephalus gracilirostris,149
101,Acrocephalus griseldis,150
102,Acrocephalus hiwae,151
103,Acrocephalus kerearako,152
104,Acrocephalus melanopogon,153
105,Acrocephalus mendanae,154
106,Acrocephalus newtoni,155
107,Acrocephalus orientalis,156
108,Acrocephalus orinus,157
109,Acrocephalus paludicola,158
110,Acrocephalus palustris,159
111,Acrocephalus percernis,160
112,Acrocephalus rehsei,161
113,Acrocephalus rimitarae,162
114,Acrocephalus rodericanus,163
115,Acrocephalus rufescens,164
116,Acrocephalus schoenobaenus,165
117,Acrocephalus scirpaceus,166
118,Acrocephalus sechellensis,167
119,Acrocephalus stentoreus,168
120,Acrocephalus syrinx,169
121,Acrocephalus tangorum,171
122,Acrometopa macropoda,179
123,Acrometopa servillea,180
124,Acropternis orthonyx,182
125,Acryllium vulturinum,183
126,Actenoides concretus,185
127,Actenoides hombroni,186
128,Actenoides lindsayi,187
129,Actenoides monachus,188
130,Actenoides princeps,189
131,Actinodura cyanouroptera,190
132,Actinodura egertoni,192
133,Actinodura morrisoniana,193
134,Actinodura nipalensis,194
135,Actinodura ramsayi,195
136,Actinodura sodangorum,196
137,Actinodura souliei,197
138,Actinodura strigula,198
139,Actinodura waldeni,199
140,Actitis hypoleucos,201
141,Actitis macularius,202
142,Actophilornis africanus,203
143,Adelomyia melanogenys,207
144,Adelotus brevis,212
145,Adenomera andreae,215
146,Adenomera araucaria,216
147,Adenomera diptyx,218
148,Adenomera hylaedactyla,220
149,Adenomera marmorata,221
150,Adenomera nana,222
151,Adenomera,224
152,Aechmophorus clarkii,227
153,Aechmophorus occidentalis,228
154,Aegithalos bonvaloti,230
155,Aegithalos caudatus,231
156,Aegithalos concinnus,232
157,Aegithalos exilis,233
158,Aegithalos fuliginosus,234
159,Aegithalos glaucogularis,235
160,Aegithalos iouschistos,236
161,Aegithalos niveogularis,238
162,Aegithalos sharpei,239
163,Aegithina lafresnayei,240
164,Aegithina nigrolutea,241
165,Aegithina tiphia,242
166,Aegithina viridissima,243
167,Aegolius acadicus,244
168,Aegolius funereus,245
169,Aegolius harrisii,246
170,Aegolius ridgwayi,247
171,Aegotheles albertisi,248
172,Aegotheles bennettii,249
173,Aegotheles crinifrons,250
174,Aegotheles cristatus,251
175,Aegotheles insignis,252
176,Aegotheles tatei,253
177,Aegotheles wallacii,254
178,Aegypius monachus,255
179,Aenigmatolimnas marginalis,256
180,Aepyceros melampus,263
181,Aerodramus brevirostris,267
182,Aerodramus fuciphagus,271
183,Aerodramus germani,272
184,Aerodramus hirundinaceus,273
185,Aerodramus inquietus,275
186,Aerodramus mearnsi,278
187,Aerodramus sawtelli,282
188,Aerodramus spodiopygius,284
189,Aerodramus terraereginae,285
190,Aerodramus unicolor,286
191,Aerodramus vanikorensis,287
192,Aeronautes andecolus,288
193,Aeronautes montivagus,289
194,Aeronautes saxatalis,290
195,Aeropedellus clavatus,291
196,Aethia cristatella,297
197,Aethia psittacula,298
198,Aethia pusilla,299
199,Aethia pygmaea,300
200,Aethomyias arfakianus,301
201,Aethomyias nigrorufus,302
202,Aethomyias papuensis,303
203,Aethomyias perspicillatus,305
204,Aethomyias rufescens,306
205,Aethopyga bella,308
206,Aethopyga boltoni,309
207,Aethopyga christinae,310
208,Aethopyga duyvenbodei,312
209,Aethopyga eximia,313
210,Aethopyga flagrans,314
211,Aethopyga gouldiae,315
212,Aethopyga guimarasensis,316
213,Aethopyga ignicauda,317
214,Aethopyga jefferyi,318
215,Aethopyga magnifica,320
216,Aethopyga mystacalis,321
217,Aethopyga nipalensis,322
218,Aethopyga pulcherrima,324
219,Aethopyga saturata,325
220,Aethopyga shelleyi,326
221,Aethopyga siparaja,327
222,Aethopyga temminckii,328
223,Aethopyga vigorsii,330
224,Afrixalus delicatus,335
225,Afrixalus fornasini,337
226,Afropavo congensis,349
227,Afrotis afra,350
228,Afrotis afraoides,352
229,Agalychnis callidryas,355
230,Agalychnis dacnicolor,356
231,Agalychnis moreletii,358
232,Agamia agami,363
233,Agapornis canus,367
234,Agapornis fischeri,368
235,Agapornis lilianae,369
236,Agapornis nigrigenis,370
237,Agapornis personatus,371
238,Agapornis pullarius,372
239,Agapornis roseicollis,373
240,Agapornis taranta,375
241,Agelaioides badius,376
242,Agelaioides fringillarius,377
243,Oreopsar bolivianus,378
244,Agelaius assimilis,379
245,Agelaius humeralis,380
246,Agelaius phoeniceus,381
247,Agelaius tricolor,382
248,Agelaius xanthomus,383
249,Agelasticus cyanopus,386
250,Agelasticus thilius,387
251,Agelasticus xanthophthalmus,388
252,Aglaeactis aliciae,390
253,Aglaeactis cupripennis,392
254,Aglaeactis pamela,393
255,Aglaiocercus coelestis,395
256,Aglaiocercus kingii,396
257,Aglais io,397
258,Aglaothorax morsei,401
259,Aglaothorax ovata,402
260,Agricola pallidus,407
261,Agriornis albicauda,409
262,Agriornis lividus,410
263,Agriornis micropterus,411
264,Agriornis montanus,412
265,Agropsar philippensis,415
266,Agropsar sturninus,416
267,Ailuroedus arfakianus,419
268,Ailuroedus crassirostris,422
269,Ailuroedus geislerorum,423
270,Ailuroedus maculosus,425
271,Ailuroedus melanocephalus,426
272,Ailuroedus melanotis,427
273,Ailuroedus stonii,428
274,Ailuropoda melanoleuca,429
275,Aimophila notosticta,432
276,Aimophila rufescens,433
277,Aimophila ruficeps,434
278,Aix galericulata,436
279,Aix sponsa,437
280,Akletos goeldii,440
281,Akletos melanoceps,441
282,Alaemon alaudipes,442
283,Alauda arvensis,444
284,Alauda gulgula,445
285,Alauda leucoptera,446
286,Alaudala athensis,448
287,Alaudala cheleensis,449
288,Alaudala heinei,450
289,Alaudala rufescens,451
290,Alaudala raytal,453
291,Alaudala somalica,454
292,Albarracinia zapaterii,456
293,Alca torda,459
294,Alcedo atthis,460
295,Alcedo coerulescens,461
296,Alcedo euryzona,462
297,Alcedo peninsulae,463
298,Alcedo meninting,465
299,Alcedo quadribrachys,466
300,Alcedo semitorquata,467
301,Alces alces,468
302,Schoeniparus brunneus,470
303,Alcippe brunneicauda,471
304,Schoeniparus castaneceps,472
305,Schoeniparus cinereus,473
306,Alcippe davidi,474
307,Schoeniparus dubius,475
308,Alcippe fratercula,476
309,Alcippe grotei,477
310,Alcippe hueti,478
311,Schoeniparus klossi,479
312,Alcippe morrisonia,480
313,Alcippe nipalensis,481
314,Alcippe peracensis,482
315,Alcippe poioicephala,483
316,Alcippe pyrrhoptera,484
317,Schoeniparus rufogularis,485
318,Alcurus striatus,487
319,Aleadryas rufinucha,491
320,Alectoris barbara,493
321,Alectoris chukar,494
322,Alectoris graeca,495
323,Alectoris magna,496
324,Alectoris melanocephala,497
325,Alectoris philbyi,498
326,Alectoris rufa,499
327,Alectroenas pulcherrimus,501
328,Alectrurus risora,503
329,Alectrurus tricolor,504
330,Alectura lathami,505
331,Aleeta curvicosta,506
332,Alethe castanea,507
333,Alethe diademata,508
